====================================================================================================
TimeBound Suite82
plan: stats/run_plan_82.csv
out: outputs/suite82
selected runs: 82
====================================================================================================
A_tb_retrieval_main_semantic | A_main_retrieval | retrieval | timebound_long |  | semantic
D_external_reader_tempreason_qwen25_coder_7b_query_only | D_external_diagnostics | llm | tempreason | qwen25_coder_7b | query_only
D_external_reader_tempreason_qwen25_7b_query_only | D_external_diagnostics | llm | tempreason | qwen25_7b | query_only
D_external_reader_tempreason_mistral_7b_v03_query_only | D_external_diagnostics | llm | tempreason | mistral_7b_v03 | query_only
D_external_reader_complextr_qwen25_coder_1p5b_query_only | D_external_diagnostics | llm | complextr | qwen25_coder_1p5b | query_only
D_external_reader_complextr_qwen25_coder_7b_query_only | D_external_diagnostics | llm | complextr | qwen25_coder_7b | query_only
D_external_reader_complextr_qwen25_7b_query_only | D_external_diagnostics | llm | complextr | qwen25_7b | query_only
D_external_reader_complextr_mistral_7b_v03_query_only | D_external_diagnostics | llm | complextr | mistral_7b_v03 | query_only
D_external_reader_tcp_qwen25_coder_1p5b_semantic_rag | D_external_diagnostics | llm | tcp | qwen25_coder_1p5b | semantic_rag
D_external_reader_tcp_qwen25_coder_1p5b_timebound_rag | D_external_diagnostics | llm | tcp | qwen25_coder_1p5b | timebound_rag
D_external_reader_tcp_qwen25_coder_7b_semantic_rag | D_external_diagnostics | llm | tcp | qwen25_coder_7b | semantic_rag
D_external_reader_tcp_qwen25_coder_7b_timebound_rag | D_external_diagnostics | llm | tcp | qwen25_coder_7b | timebound_rag
D_external_reader_tcp_qwen25_7b_semantic_rag | D_external_diagnostics | llm | tcp | qwen25_7b | semantic_rag
D_external_reader_tcp_qwen25_7b_timebound_rag | D_external_diagnostics | llm | tcp | qwen25_7b | timebound_rag
D_external_reader_tcp_mistral_7b_v03_semantic_rag | D_external_diagnostics | llm | tcp | mistral_7b_v03 | semantic_rag
D_external_reader_tcp_mistral_7b_v03_timebound_rag | D_external_diagnostics | llm | tcp | mistral_7b_v03 | timebound_rag
D_external_reader_locomo_qwen25_coder_1p5b_semantic_rag | D_external_diagnostics | llm | locomo | qwen25_coder_1p5b | semantic_rag
D_external_reader_locomo_qwen25_coder_1p5b_timebound_rag | D_external_diagnostics | llm | locomo | qwen25_coder_1p5b | timebound_rag
D_external_reader_locomo_qwen25_coder_7b_semantic_rag | D_external_diagnostics | llm | locomo | qwen25_coder_7b | semantic_rag
D_external_reader_locomo_qwen25_coder_7b_timebound_rag | D_external_diagnostics | llm | locomo | qwen25_coder_7b | timebound_rag
D_external_reader_locomo_qwen25_7b_semantic_rag | D_external_diagnostics | llm | locomo | qwen25_7b | semantic_rag
D_external_reader_locomo_qwen25_7b_timebound_rag | D_external_diagnostics | llm | locomo | qwen25_7b | timebound_rag
D_external_reader_locomo_mistral_7b_v03_semantic_rag | D_external_diagnostics | llm | locomo | mistral_7b_v03 | semantic_rag
D_external_reader_locomo_mistral_7b_v03_timebound_rag | D_external_diagnostics | llm | locomo | mistral_7b_v03 | timebound_rag
