run_id,block,run_type,dataset_key,retriever,regime,model_key,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,metric_n,metric_evidence_f1,metric_exact_evidence_hit,metric_invalid_retrieval_rate,metric_exact_accuracy,metric_relaxed_accuracy,metric_contradiction,metric_retrieved_chars,metric_prompt_chars,metric_latency_sec,metric_retrieval_sec,metric_gen_sec
C_llm_timebound_mistral_7b_v03_recency_rag,C_main_llm_timebound,llm,timebound_long,,recency_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,1000,0.0,0.0,0.3296666666666666,0.0,0.002,0.146,153.226,857.292,,0.001455907106399536,0.9836511623859405
C_llm_timebound_mistral_7b_v03_semantic_rag,C_main_llm_timebound,llm,timebound_long,,semantic_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,1000,0.5768000000000001,0.0,0.37366666666666665,0.215,0.355,0.111,154.02,853.798,,0.001572667360305786,0.997490507364273
C_llm_timebound_mistral_7b_v03_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,,semantic_recency_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,1000,0.2538,0.0,0.368,0.205,0.256,0.135,154.678,859.036,,0.0016379821300506591,1.1631694550514222
C_llm_timebound_mistral_7b_v03_timebound_rag,C_main_llm_timebound,llm,timebound_long,,timebound_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,0.313,0.531,0.114,158.156,850.421,,0.0016339881420135499,1.0656244151592256
C_llm_timebound_qwen25_7b_full_history,C_main_llm_timebound,llm,timebound_long,,full_history,qwen25_7b,,,,3,0.6,0.3,0.3,1000,0.09798022071982743,0.0,0.3348321037396553,0.0,0.0,0.0,1527.373,5361.88,,2.069687843322754e-05,0.8571392509937287
C_llm_timebound_qwen25_7b_oracle_evidence,C_main_llm_timebound,llm,timebound_long,,oracle_evidence,qwen25_7b,,,,3,0.6,0.3,0.3,1000,1.0,1.0,0.4375,0.0,0.0,0.0,80.601,743.257,,2.3941516876220705e-05,0.4199000482559204
C_llm_timebound_qwen25_7b_recency_rag,C_main_llm_timebound,llm,timebound_long,,recency_rag,qwen25_7b,,,,3,0.6,0.3,0.3,1000,0.0,0.0,0.3296666666666666,0.0,0.0,0.0,153.226,988.292,,0.0016022167205810547,0.9894226355552673
C_llm_timebound_qwen25_7b_semantic_rag,C_main_llm_timebound,llm,timebound_long,,semantic_rag,qwen25_7b,,,,3,0.6,0.3,0.3,1000,0.5768000000000001,0.0,0.37366666666666665,0.0,0.0,0.0,154.02,984.798,,0.0015065348148345947,0.4823257308006287
C_llm_timebound_qwen25_7b_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,,semantic_recency_rag,qwen25_7b,,,,3,0.6,0.3,0.3,1000,0.2538,0.0,0.368,0.0,0.0,0.0,154.678,990.036,,0.0015911729335784913,0.6651541454792023
C_llm_timebound_qwen25_7b_timebound_rag,C_main_llm_timebound,llm,timebound_long,,timebound_rag,qwen25_7b,,,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,0.0,0.0,0.0,158.156,981.421,,0.0017359673976898194,0.5372341690063477
